Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
tarjeta-flores-pastel,Tarjeta "Flores pastel",<p>Ilustración floral en acuarela impresa en offset sobre papel algodón de 300 g. Incluye sobre color crema.</p><p>Medidas: 12 × 17 cm. Interior en blanco para escribir a mano.</p>,Estudio Mila,Tarjeta,"cumpleanos,flores,acuarela",TRUE,Title,Default Title,EST-CUM-001,shopify,25,deny,manual,4500,TRUE,TRUE,,Flores pastel ilustradas en acuarela,active
tarjeta-feliz-cumple-tipo,"Tarjeta ""Feliz cumple"" tipográfica",<p>Tipografía vintage con filete dorado en hot stamping. Papel marfil texturado de 350 g.</p><p>Medidas: 10 × 15 cm. Sobre kraft incluido.</p>,Papel & Tinta,Tarjeta,"cumpleanos,tipografia,minimalista",TRUE,Title,Default Title,EST-CUM-002,shopify,30,deny,manual,5200,TRUE,TRUE,,Tarjeta tipográfica feliz cumpleaños,active
tarjeta-torta-estrellas,Tarjeta "Torta con estrellas",<p>Ilustración infantil en risografía a dos tintas (rosa y terracotta) sobre papel reciclado.</p><p>Medidas: 11 × 15 cm. Sobre blanco incluido.</p>,Estudio Mila,Tarjeta,"cumpleanos,infantil,risografia",TRUE,Title,Default Title,EST-CUM-003,shopify,20,deny,manual,4200,TRUE,TRUE,,Torta de cumpleaños con estrellas risografía,active
tarjeta-te-quiero-corazones,Tarjeta "Te quiero" con corazones,<p>Ilustración romántica en técnica mixta. Detalles en rojo carmín sobre fondo crudo.</p><p>Medidas: 12 × 17 cm. Sobre rojo incluido.</p>,Lina Ito,Tarjeta,"amor,romantico,aniversario",TRUE,Title,Default Title,EST-AMR-001,shopify,35,deny,manual,4800,TRUE,TRUE,,Tarjeta te quiero con corazones,active
tarjeta-dos-palomas,Tarjeta "Dos palomas",<p>Grabado en letterpress sobre papel algodón. Una tarjeta para decir cosas importantes.</p><p>Medidas: 10 × 14 cm. Sobre natural incluido.</p>,Taller Nao,Tarjeta,"amor,aniversario,letterpress",TRUE,Title,Default Title,EST-AMR-002,shopify,15,deny,manual,6500,TRUE,TRUE,,Dos palomas en letterpress,active
tarjeta-san-valentin-pajaros,Tarjeta San Valentín "Pájaros enamorados",<p>Ilustración en acuarela con detalles bordados a mano. Pieza limitada.</p><p>Medidas: 12 × 17 cm. Sobre rosa pálido incluido.</p>,Estudio Mila,Tarjeta,"amor,san-valentin,edicion-limitada",TRUE,Title,Default Title,EST-AMR-003,shopify,10,deny,manual,5900,TRUE,TRUE,,Pájaros enamorados bordados,active
tarjeta-bienvenido-bebe-luna,Tarjeta "Bienvenido, bebé" luna,<p>Ilustración nocturna en tonos pastel. Ideal para regalar con un moisés o un libro.</p><p>Medidas: 12 × 17 cm. Sobre celeste incluido.</p>,Lina Ito,Tarjeta,"nacimiento,bebe,pastel",TRUE,Title,Default Title,EST-NAC-001,shopify,25,deny,manual,4500,TRUE,TRUE,,Tarjeta bienvenido bebé con luna,active
tarjeta-baby-shower-elefante,Tarjeta baby shower "Elefantito",<p>Ilustración tierna de un elefante bebé con moño. Impresa en offset sobre papel texturado.</p><p>Medidas: 10 × 15 cm. Sobre blanco incluido.</p>,Papel & Tinta,Tarjeta,"nacimiento,baby-shower,infantil",TRUE,Title,Default Title,EST-NAC-002,shopify,30,deny,manual,4200,TRUE,TRUE,,Elefantito para baby shower,active
tarjeta-gracias-ramo,Tarjeta "Gracias" con ramo,<p>Ilustración botánica en trazo fino. Perfecta para acompañar un regalo o decir gracias después de un favor.</p><p>Medidas: 10 × 14 cm. Sobre kraft incluido.</p>,Taller Nao,Tarjeta,"gracias,botanica",TRUE,Title,Default Title,EST-GRC-001,shopify,40,deny,manual,3800,TRUE,TRUE,,Tarjeta gracias con ramo botánico,active
tarjeta-lo-siento-lluvia,"Tarjeta ""Lo siento"" lluvia",<p>Una tarjeta para los pedidos de disculpas. Ilustración melancólica con gotas en plateado metalizado.</p><p>Medidas: 10 × 14 cm. Sobre gris incluido.</p>,Taller Nao,Tarjeta,"disculpas,minimalista",TRUE,Title,Default Title,EST-DIS-001,shopify,20,deny,manual,4500,TRUE,TRUE,,Tarjeta lo siento con lluvia,active
